date,gold_sentiment,source
2019-02-21,0.9858701701882104,Dailynewsegypt
2019-02-25,0.9999875248986188,warriortradingnews.com
2019-02-21,0.999118971167591,Азия-Плюс
2019-02-21,0.9999798243693419,Dawn
2019-02-22,0.9019709733897109,heraldonline.co.zw
2019-02-21,0.9957813559360451,Malawi Nyasa Times
2019-02-27,0.9866933557793194,Investing News Network
2019-02-25,0.8761902154458812,Axios
2019-02-28,-0.9366680180093775,MarketWatch
2019-03-02,0.9466402889419432,The Economist
2019-02-27,0.9995973873330961,Mining Review Africa
2019-02-26,0.9994594467993353,Mesabi Tribune
2019-02-26,-0.9832008503331505,Australian Broadcasting Corporation
2019-02-28,0.9989760241064877,VOA - Voice of America English News
2019-02-25,0.9999875248836122,warriortradingnews.com
2019-02-27,-1.1883340177258641e-12,The Hans India
2019-02-26,0.9983714085419605,Jamaica Gleaner
2019-02-26,0.8039217324261039,MarketWatch
2019-02-27,0.9999930755614618,Demerara Waves Online News- Guyana
2019-03-01,-0.9995707706809426,financialexpress.com
2019-03-06,-1.7639868725884517e-08,Mongabay
2019-03-06,0.9928131559009609,National Geographic
2019-03-03,0.9993264041181821,Mining.com
2019-03-05,0.9994899022464581,TimminsToday.com
2019-03-04,0.8939476922494709,Moneycontrol
2019-03-06,0.08366899895998564,streetwisereports.com
2019-03-06,0.44506459749909766,Free Malaysia Today
2019-03-06,0.9993750782694999,Mining.com
2019-03-08,0.9999289230771257,InSight Crime
2019-03-11,0.9999952399811629,International Mining
2019-03-11,0.9999918877542746,Business in Vancouver
2019-03-12,0.9988599912098725,The Northern Miner
2019-03-09,0.00023359279195126376,felix.net
2019-03-08,0.9999261019158412,GhanaWeb
2019-03-12,0.9791840773878118,Australian Mining
2019-03-11,0.9994897461718147,WeeTracker
2019-03-17,-0.9998902880986129,Yahoo Finance
2019-03-14,-0.9989087107999384,Gold Price
2019-03-15,9.059053327433353e-13,CNBC
2019-03-14,0.9994529671212616,Market Realist
2019-03-12,0.9988599904059505,The Northern Miner
2019-03-12,0.9791840773878118,Australian Mining
2019-03-17,0.827502141413783,Philippine News Agency
2019-03-15,1.1457634013004568e-11,Kalinga TV
2019-03-21,0.9355173615739534,FindLaw
2019-03-21,0.1310997871990163,Mining.com
2019-03-17,-0.9998902880986129,Yahoo Finance
2019-03-19,0.9949528245287781,World Gold Council
2019-03-18,0.9999808657748016,Investing News Network
2019-03-20,-0.99999972722513,The Economic Times
2019-03-20,0.9999847831183667,Gold Price
2019-03-19,0.9986140442226805,Bloomberg.com
2019-03-18,-0.9999959629537021,Vietnam Investment Review - VIR
