date,apple_sentiment,source
2019-01-22,0.999972075667499,Temple News
2019-01-25,0.9999821055859391,Digital Music News
2019-01-23,0.9999850013340986,Cult of Mac
2019-01-22,-0.32072516156684155,PhoneArena
2019-01-25,-0.9999909647537019,Patently Apple
2019-01-25,0.9999716598008259,9to5Mac
2019-01-24,0.9989945103958174,MacRumors
2019-01-22,0.9542986777024474,Patently Apple
2019-01-25,0.9749585840736971,9to5Mac
2019-01-21,0.988635284642893,Patently Apple
2019-01-26,0.0002540963906090733,9to5Mac
2019-01-24,0.7631137278223321,Patently Apple
2019-01-23,0.9999008779525719,9to5Mac
2019-01-21,0.03797400337128706,9to5Mac
2019-01-23,0.9983744054393969,Cult of Mac
2019-01-21,0.9985217007123798,MacTech Magazine
2019-01-21,0.9989115040091713,9to5Mac
2019-01-26,0.9997990288851369,Cointelegraph
2019-01-25,-0.999363981110894,GSMArena.com
2019-01-24,0.9998302491626422,9to5Mac
2019-01-25,0.9998979450483195,9to5Mac
2019-01-21,0.7678984957946904,9to5Mac
2019-01-26,0.9997081158139102,9to5Mac
2019-01-22,0.9995476320429368,Armenpress
2019-01-23,0.9717244941323131,news.com.au
2019-01-29,0.999976376832491,Apple Newsroom
2019-01-28,0.9871485798302166,Apple Newsroom
2019-01-28,0.9829169171620274,ABC News
2019-01-30,-0.9941667160450671,The Hacker News
2019-01-30,-0.178755098042735,BBC.com
2019-01-29,0.9999956675957492,CNBC
2019-01-26,0.9997194624883183,GSMArena.com
2019-01-29,0.9997992675838779,ABC7 Bay Area
2019-01-31,0.9996153185829734,KNOE
2019-01-29,0.9993642332439009,BuzzFeed News
2019-01-27,0.9999587528468488,Lake Chelan Now
2019-01-29,0.9104686081107798,USA TODAY
2019-01-31,0.9987142029009218,Bloomberg
2019-01-28,0.9999926174745143,Temple News
2019-01-29,0.9901302310325313,VVdailypress.com
2019-01-30,0.9997372335557818,The Verge
2019-01-29,0.998060703554795,BuzzFeed News
2019-01-30,0.999993803269822,Apple Newsroom
2019-01-31,-0.355543073703935,South China Morning Post
2019-01-29,0.992998812008489,9to5Mac
2019-01-28,-0.9999801841563233,The Independent
2019-01-29,0.17099199806937845,Forbes
2019-01-29,-0.999986378993235,Cult of Mac
2019-01-26,0.0002540963906090733,9to5Mac
2019-01-29,0.9995740995420632,PhoneArena
2019-01-28,0.9999575316003692,9to5Mac
2019-01-31,0.9999809356191323,The Indian Express
2019-01-26,0.9997990288851369,Cointelegraph
2019-01-27,-0.7618347767790228,9to5Mac
2019-01-30,0.9999825183803875,Us Weekly
2019-01-30,0.9998767319953489,9to5Mac
2019-01-28,0.999983975576457,9to5Mac
2019-01-30,1.1064752169132525e-06,Arab News
2019-01-26,0.9997081158139102,9to5Mac
2019-01-30,0.9992674011355381,Delano.lu
2019-01-29,0.999895587716905,The Indian Express
2019-01-29,-0.914710038446763,HT Tech
2019-01-29,-0.8842410718957981,The Sun
2019-01-30,0.9999988097304434,NDTV
2019-01-31,-0.9998996015527533,9News
2019-01-28,0.9974409063634556,Guernsey Press
2019-01-29,-0.9998054059435291,Technology Zimbabwe
2019-02-05,0.9999790742247794,Apple Newsroom
2019-02-04,0.9997008530646779,Victor Valley News - VVNG
2019-01-31,0.9996153185829734,KNOE
2019-01-31,0.9987142029009218,Bloomberg
2019-02-04,0.999978253567029,PhoneArena
2019-02-02,0.9999480471411444,Patently Apple
2019-02-05,0.9942785801597148,Fast Company
2019-01-31,-0.355543073703935,South China Morning Post
2019-02-05,0.9998566970435906,Cult of Mac
2019-02-01,0.9715400645772173,bbc.co.uk
2019-02-05,0.9998966630713717,The Verge
2019-02-03,0.962377420300193,The Indian Express
2019-02-01,0.9993355688117515,Retail & Leisure International
2019-02-01,0.9999864083315596,9to5Mac
2019-02-03,0.9291814731886793,Victor Valley News - VVNG
2019-02-04,0.9999787513732181,Cult of Mac
2019-02-05,0.9998192693593307,PhoneArena
2019-02-04,0.9998326458499277,9to5Mac
2019-02-04,0.9998142495665302,GSMArena.com
