date,mac_sentiment,source
2019-01-01,0.9990251148806393,AppleInsider
2019-01-03,0.9989712946867058,SentinelOne
2019-01-06,-0.23947306594859838,Macworld
2019-01-01,0.9997200193555514,MacRumors
2019-01-02,0.9997887516636925,MUO - MakeUseOf
2019-01-03,0.999293795739174,Wccftech
2019-01-02,0.9999649766650441,Geography Realm
2019-01-04,0.9999509348755304,AppleInsider
2019-01-04,0.9996788127238989,AppleInsider
2019-01-04,0.9998979159905633,The Mac Observer
2019-01-08,0.9999236945540994,iMore
2019-01-10,0.9999811932159425,MacRumors
2019-01-06,-0.23947306594859838,Macworld
2019-01-11,0.9995321357285681,9to5Mac
2019-01-10,0.980284383835096,AppleInsider
2019-01-07,0.9999798295407597,MacRumors
2019-01-08,0.9999506424019836,9to5Mac
2019-01-10,0.9947243083188582,Fast Company
2019-01-10,0.9999908039053652,Softpedia News
2019-01-10,0.9954894804408257,Macworld
2019-01-11,0.9978305854941599,MacRumors
2019-01-08,0.9998825483970497,9to5Mac
2019-01-10,0.5865359709360719,OSXDaily
2019-01-09,1.5896226253868126e-07,Make Tech Easier
2019-01-16,-0.0,AppleInsider
2019-01-16,0.9983593676047702,MacRumors
2019-01-14,0.9973059885792067,Macworld
2019-01-11,0.9995321357285681,9to5Mac
2019-01-16,0.9995572411220502,Cult of Mac
2019-01-16,0.9991590742390981,How-To Geek
2019-01-14,0.9999046834198786,ProVideo Coalition
2019-01-16,0.9999699814383863,DIY Photography
2019-01-15,0.9999898891623227,Macworld
2019-01-11,0.9978305854941599,MacRumors
2019-01-14,0.09672782969869934,Overdrive
2019-01-15,0.9875059009911361,AppleInsider
2019-01-14,0.999773578395078,MacRumors
2019-01-15,0.7946773652161012,MacRumors
2019-01-12,0.9999207454118204,OSXDaily
2019-01-21,0.9999669173640253,AppleInsider
2019-01-16,0.9983593676047702,MacRumors
2019-01-16,-0.0,AppleInsider
2019-01-16,0.9991590742390981,How-To Geek
2019-01-18,0.9996284076878343,9to5Mac
2019-01-21,0.9999513796000863,Pokde.Net
2019-01-18,-0.9999320328260708,AppleInsider
2019-01-24,0.9999926310075987,PCMag
2019-01-21,0.9999669173640253,AppleInsider
2019-01-23,0.9998678743622801,MUO - MakeUseOf
2019-01-24,0.9999304189391413,MacRumors
2019-01-22,0.9999625458809008,TNW
2019-01-23,0.999569070276656,Macworld
2019-01-22,0.9999923995945728,Softpedia News
2019-01-24,0.9999196158521149,TechRadar
2019-01-25,0.9967866477947146,9to5Mac
2019-01-26,0.9650864941362983,AppleInsider
2019-01-24,0.9999381727523484,OnMSFT.com
2019-01-24,0.0665994109448469,MacRumors
2019-01-24,0.9999492023151687,Cult of Mac
2019-01-25,0.9999830755537866,Apple Newsroom
2019-01-21,0.9999513796000863,Pokde.Net
2019-01-22,0.9999683788610375,MacRumors
2019-01-24,0.9990865508748125,9to5Mac
2019-01-24,0.9998193398100694,PCMag UK
2019-01-24,0.9998566963138219,Digital Production
2019-01-23,0.9999628105129588,The Mac Observer
2019-01-24,1.5815366320263482e-08,The Mac Observer
2019-01-23,0.999978030014532,OSXDaily
2019-01-26,0.9650864941362983,AppleInsider
2019-01-31,0.9998229222316158,Dummies.com
2019-01-31,0.9955247120668667,How-To Geek
2019-01-28,0.9999973753557322,BestTechie
2019-01-31,0.9986922366086052,TNW
2019-01-28,0.9999907245924782,MacDailyNews
2019-01-28,0.11833157657284506,MacRumors
2019-01-28,0.021163964950320135,Cult of Mac
2019-01-29,0.9998616790063114,MacStories
2019-01-31,0.9999146563837953,Dummies.com
2019-01-28,0.9999559872662227,Mactrast
2019-01-31,0.9543823543377274,Unit 42
2019-01-27,5.174888448121863e-12,The Indian Express
2019-01-26,0.9999557017417514,iMore
2019-01-28,-0.595164532615607,Yanko Design
2019-01-30,0.8721481737942796,MacRumors
2019-01-27,0.9999970684966356,OSXDaily
2019-01-28,0.998642470425251,OSXDaily
2019-01-28,0.9998531687718074,OSXDaily
2019-02-01,0.9999778181516445,CNET
2019-02-03,0.9865780953636611,Macworld
