date,bitcoin_sentiment,source
2019-01-07,0.9999931097923419,TNW
2019-01-09,0.9830819566222746,Forbes
2019-01-06,0.9995891095591368,Mashable
2019-01-09,0.0,CoinDesk
2019-01-08,0.9995835163987215,Yahoo Finance
2019-01-06,-0.9999181675937573,CoinCentral
2019-01-08,0.9999878583797722,BTC Wires
2019-01-09,6.682722929717e-09,Cointelegraph
2019-01-09,0.9996565323147046,CoinDesk
2019-01-08,0.9927648608326414,Enterprise Times
2019-01-07,0.9992148098102105,Innovation & Tech Today
2019-01-08,0.9999221039980059,Our Economy
2019-01-09,0.9931267969482358,GlobalCosmeticsNews
2019-01-09,0.9922323696731983,Business Insider
2019-01-09,0.999607937653647,CoinGeek
2019-01-06,6.258417606811783e-10,CoinCentral
2019-01-08,3.758159743137872e-14,Bitcoinist
2019-01-09,0.9999434574016156,Asia Times
2019-01-08,0.9996499064053589,Yahoo
2019-01-08,0.999792690536414,Bloomberg Law
2019-01-09,0.999879151140626,Newsweek
2019-01-08,0.9983198458034804,CCN.com
2019-01-09,0.9984808214049288,Investing.com
2019-01-07,0.9998436539048591,CoinGeek
2019-01-06,0.9998807709109813,Investing.com
2019-01-08,0.9999847099361958,artnet News
2019-01-08,0.9999427712699299,Yahoo News UK
2019-01-08,0.9995826343026828,CoinGeek
2019-01-09,0.00012334523924277378,The Block Talk
2019-01-09,0.9982568498772029,The Telegraph
2019-01-09,0.8439302812701538,Global News
2019-01-08,0.9967657086448984,The Daily Hodl
2019-01-07,0.9999056026208619,Investing.com India
2019-01-06,0.9995756996982994,hackernoon.com
2019-01-08,0.9998616738621374,hackernoon.com
2019-01-08,0.999734857355086,Trinidad & Tobago Express Newspapers
2019-01-07,8.101502487521569e-09,CryptoDaily
2019-01-09,0.34339374990648625,Irish Independent
2019-01-06,2.283124605943624e-05,Malta Independent Online
2019-01-07,0.9999799705982196,Newsbook
2019-01-11,-0.6289757142390853,The Guardian
2019-01-09,0.9997849758349324,CEPR
2019-01-10,0.999647691389048,The New York Times
2019-01-11,-0.8919376530869815,New Scientist
2019-01-10,0.9999096395323597,CNBC
2019-01-09,0.9993590898558123,MarketWatch
2019-01-10,0.9999682917599314,Cointelegraph
2019-01-10,0.876832035321554,Business Wire
2019-01-11,0.9999977864511346,Privacy News Online
2019-01-09,0.9999957254229584,Finance Magnates
2019-01-11,0.9972840657868917,Forbes
2019-01-13,0.9999642137303166,Bitcoin.com News
2019-01-09,0.0,CoinDesk
2019-01-10,0.9988518290317825,Contxto
2019-01-11,0.9995249070136509,TNW
2019-01-11,0.9961030482643554,hackernoon.com
2019-01-10,0.20540962455041936,MarketWatch
2019-01-09,0.9830819566222746,Forbes
2019-01-12,0.9994189868181294,Cointelegraph
2019-01-13,0.9984739525927577,Yahoo Finance
2019-01-10,0.9999868792841942,Wealth Management
2019-01-09,6.682722929717e-09,Cointelegraph
2019-01-10,0.9999614511015739,TNW
2019-01-09,0.9996565323147046,CoinDesk
2019-01-11,0.9998085550152577,Bitcoin.com News
2019-01-09,0.9931267969482358,GlobalCosmeticsNews
2019-01-12,-0.024753261753844347,BleepingComputer
2019-01-09,0.9922323696731983,Business Insider
2019-01-12,0.9999821458216028,The Cryptonomist
2019-01-09,0.999607937653647,CoinGeek
2019-01-10,0.9999792675414472,Forbes
2019-01-13,4.752782809512319e-13,Investing.com
2019-01-10,0.9999961486148465,CoinGeek
2019-01-10,0.9996527677625364,CryptoNinjas
2019-01-11,0.9999963296648576,The Cryptonomist
2019-01-12,0.9996906787606119,Bitcoin.com News
2019-01-09,0.9999434574016156,Asia Times
2019-01-11,0.9999856154944877,CoinCentral
2019-01-13,0.9939922617081112,BeInCrypto
2019-01-13,0.9999299428891477,Bitcoinist
2019-01-10,0.9987781166832622,Kaspersky
2019-01-09,0.999879151140626,Newsweek
2019-01-10,0.9991299181192826,CoinGeek
2019-01-11,0.885323125685985,KOHA.net
2019-01-10,0.9967729434447883,Bitcoin.com News
2019-01-11,-0.9999873541795881,The Japan Times
2019-01-09,0.9984808214049288,Investing.com
2019-01-11,0.9933423028792583,Nikkei Asia
2019-01-09,0.9982568498772029,The Telegraph
2019-01-11,0.9999916853817044,Seeking Alpha
2019-01-09,0.00012334523924277378,The Block Talk
2019-01-09,0.8439302812701538,Global News
2019-01-10,0.5677423550072466,Market Exclusive
2019-01-10,0.9998485959860344,New Zealand Herald
2019-01-09,0.34339374990648625,Irish Independent
2019-01-11,0.9999842433798033,The Daily Hodl
2019-01-10,0.9999616993374585,Times of Malta
2019-01-10,0.9990938171364866,Malta Independent Online
2019-01-13,0.9994940233224932,The Tokenist
2019-01-10,0.9999979932985921,CoinGape
2019-01-11,0.9293184060193358,Asia Crypto Today
2019-01-13,0.9970000054454844,CryptoVibes
2019-01-17,0.9999873535220649,Yahoo Finance
2019-01-17,0.9820536630687288,GlobeNewswire
2019-01-15,0.9997127561558552,TNW
2019-01-17,0.9988734804334344,GeekWire
2019-01-14,0.972388839854482,Forbes
2019-01-16,0.9976030324158276,CoinDesk
2019-01-17,0.9999959473797241,BBC.com
2019-01-17,0.9997385110594846,Northwest Public Broadcasting
2019-01-14,0.9997996904241016,Cointelegraph
2019-01-13,0.9999642137303166,Bitcoin.com News
2019-01-15,0.9997202899038324,RochesterFirst
2019-01-16,0.9999720830355469,Yahoo Finance
2019-01-15,0.9997860977624964,Bitcoin.com News
2019-01-17,0.9954966084225184,TNW
2019-01-14,0.9999628231283424,Yahoo Finance
2019-01-13,0.9984739525927577,Yahoo Finance
2019-01-14,0.9999163539566407,PR Newswire
2019-01-14,0.99739309794393,Blokt
2019-01-17,0.9999924144174308,CryptoSlate
