,Den,Zlato: (Celosvětově)
0,2019-01-01,46.75409836065574
1,2019-01-02,50.40676229508197
2,2019-01-03,51.13729508196722
3,2019-01-04,48.94569672131148
4,2019-01-05,50.40676229508197
5,2019-01-06,46.02356557377049
6,2019-01-07,47.48463114754099
7,2019-01-08,46.02356557377049
8,2019-01-09,46.02356557377049
9,2019-01-10,46.75409836065574
10,2019-01-11,43.83196721311476
11,2019-01-12,46.02356557377049
12,2019-01-13,44.5625
13,2019-01-14,45.29303278688525
14,2019-01-15,45.29303278688525
15,2019-01-16,46.75409836065574
16,2019-01-17,43.83196721311476
17,2019-01-18,46.02356557377049
18,2019-01-19,45.29303278688525
19,2019-01-20,43.83196721311476
20,2019-01-21,43.83196721311476
21,2019-01-22,44.5625
22,2019-01-23,43.83196721311476
23,2019-01-24,43.83196721311476
24,2019-01-25,42.37090163934426
25,2019-01-26,45.29303278688525
26,2019-01-27,46.75409836065574
27,2019-01-28,46.02356557377049
28,2019-01-29,45.29303278688525
29,2019-01-30,46.75409836065574
30,2019-01-31,46.75409836065574
31,2019-02-01,44.898950855880734
32,2019-02-02,44.21866372170072
33,2019-02-03,43.53837658752071
34,2019-02-04,41.49751518498068
35,2019-02-05,43.53837658752071
36,2019-02-06,41.49751518498068
37,2019-02-07,42.858089453340696
38,2019-02-08,42.17780231916068
39,2019-02-09,43.53837658752071
40,2019-02-10,40.817228050800665
41,2019-02-11,42.858089453340696
42,2019-02-12,43.53837658752071
43,2019-02-13,44.898950855880734
44,2019-02-14,46.25952512424075
45,2019-02-15,44.21866372170072
46,2019-02-16,42.858089453340696
47,2019-02-17,42.858089453340696
48,2019-02-18,47.62009939260078
49,2019-02-19,47.62009939260078
50,2019-02-20,49.66096079514081
51,2019-02-21,47.62009939260078
52,2019-02-22,44.21866372170072
53,2019-02-23,46.25952512424075
54,2019-02-24,42.17780231916068
55,2019-02-25,45.57923799006074
56,2019-02-26,41.49751518498068
57,2019-02-27,43.53837658752071
58,2019-02-28,40.13694091662065
59,2019-03-01,45.021144920061886
60,2019-03-02,48.53842186694172
61,2019-03-03,45.021144920061886
62,2019-03-04,47.83496647756576
63,2019-03-05,48.53842186694172
64,2019-03-06,45.724600309437854
65,2019-03-07,45.021144920061886
66,2019-03-08,45.021144920061886
67,2019-03-09,44.31768953068592
68,2019-03-10,40.09695719443012
69,2019-03-11,42.91077875193398
70,2019-03-12,42.91077875193398
71,2019-03-13,42.207323362558014
72,2019-03-14,42.207323362558014
73,2019-03-15,41.503867973182054
74,2019-03-16,42.91077875193398
75,2019-03-17,39.39350180505415
76,2019-03-18,42.207323362558014
77,2019-03-19,45.021144920061886
78,2019-03-20,40.800412583806086
79,2019-03-21,40.800412583806086
80,2019-03-22,49.241877256317686
81,2019-03-23,45.724600309437854
82,2019-03-24,42.207323362558014
83,2019-03-25,45.724600309437854
84,2019-03-26,45.021144920061886
85,2019-03-27,46.42805569881382
86,2019-03-28,43.61423414130995
87,2019-03-29,44.31768953068592
88,2019-03-30,42.91077875193398
89,2019-03-31,40.800412583806086
90,2019-04-01,43.81379697139653
91,2019-04-02,40.280426247896806
92,2019-04-03,41.69377453729669
93,2019-04-04,40.98710039259675
94,2019-04-05,40.98710039259675
95,2019-04-06,41.69377453729669
96,2019-04-07,39.57375210319686
97,2019-04-08,42.400448681996636
98,2019-04-09,46.6404935501963
99,2019-04-10,43.81379697139653
100,2019-04-11,42.400448681996636
101,2019-04-12,42.400448681996636
102,2019-04-13,42.400448681996636
103,2019-04-14,41.69377453729669
104,2019-04-15,40.98710039259675
105,2019-04-16,43.10712282669658
106,2019-04-17,45.22714526079641
107,2019-04-18,41.69377453729669
108,2019-04-19,41.69377453729669
109,2019-04-20,40.280426247896806
110,2019-04-21,38.867077958496914
111,2019-04-22,42.400448681996636
112,2019-04-23,41.69377453729669
113,2019-04-24,43.10712282669658
114,2019-04-25,42.400448681996636
115,2019-04-26,38.867077958496914
116,2019-04-27,42.400448681996636
117,2019-04-28,40.98710039259675
118,2019-04-29,42.400448681996636
119,2019-04-30,43.10712282669658
120,2019-05-01,41.09714285714286
121,2019-05-02,41.09714285714286
122,2019-05-03,41.09714285714286
123,2019-05-04,41.09714285714286
124,2019-05-05,41.09714285714286
125,2019-05-06,48.182857142857145
126,2019-05-07,51.72571428571429
127,2019-05-08,46.76571428571429
128,2019-05-09,44.64
129,2019-05-10,43.222857142857144
130,2019-05-11,44.64
131,2019-05-12,41.80571428571429
132,2019-05-13,45.34857142857143
133,2019-05-14,42.51428571428572
134,2019-05-15,43.222857142857144
135,2019-05-16,42.51428571428572
136,2019-05-17,40.38857142857143
137,2019-05-18,43.222857142857144
138,2019-05-19,40.38857142857143
139,2019-05-20,43.931428571428576
140,2019-05-21,44.64
141,2019-05-22,43.931428571428576
142,2019-05-23,44.64
143,2019-05-24,41.09714285714286
144,2019-05-25,45.34857142857143
145,2019-05-26,42.51428571428572
146,2019-05-27,42.51428571428572
147,2019-05-28,44.64
148,2019-05-29,48.89142857142858
149,2019-05-30,50.30857142857143
150,2019-05-31,47.47428571428572
151,2019-06-01,48.50480109739369
152,2019-06-02,47.078189300411516
153,2019-06-03,46.36488340192044
154,2019-06-04,43.5116598079561
155,2019-06-05,43.5116598079561
156,2019-06-06,46.36488340192044
157,2019-06-07,48.50480109739369
158,2019-06-08,49.93141289437585
159,2019-06-09,49.21810699588477
160,2019-06-10,52.071330589849104
161,2019-06-11,48.50480109739369
162,2019-06-12,48.50480109739369
163,2019-06-13,47.7914951989026
164,2019-06-14,51.35802469135802
