,Den,Apple
0,2019-01-01,1.393258426966292
1,2019-01-02,1.393258426966292
2,2019-01-03,1.2191011235955056
3,2019-01-04,1.393258426966292
4,2019-01-05,1.2191011235955056
5,2019-01-06,1.2191011235955056
6,2019-01-07,1.044943820224719
7,2019-01-08,0.8707865168539325
8,2019-01-09,0.8707865168539325
9,2019-01-10,0.8707865168539325
10,2019-01-11,0.8707865168539325
11,2019-01-12,1.044943820224719
12,2019-01-13,1.2191011235955056
13,2019-01-14,1.044943820224719
14,2019-01-15,1.044943820224719
15,2019-01-16,1.044943820224719
16,2019-01-17,0.8707865168539325
17,2019-01-18,0.8707865168539325
18,2019-01-19,1.044943820224719
19,2019-01-20,1.044943820224719
20,2019-01-21,0.8707865168539325
21,2019-01-22,1.044943820224719
22,2019-01-23,1.044943820224719
23,2019-01-24,0.696629213483146
24,2019-01-25,0.8707865168539325
25,2019-01-26,0.8707865168539325
26,2019-01-27,0.8707865168539325
27,2019-01-28,0.696629213483146
28,2019-01-29,0.8707865168539325
29,2019-01-30,0.696629213483146
30,2019-01-31,0.8707865168539325
31,2019-02-01,1.0980392156862744
32,2019-02-02,1.372549019607843
33,2019-02-03,1.372549019607843
34,2019-02-04,1.0980392156862744
35,2019-02-05,1.372549019607843
36,2019-02-06,1.0980392156862744
37,2019-02-07,1.372549019607843
38,2019-02-08,1.0980392156862744
39,2019-02-09,1.372549019607843
40,2019-02-10,1.372549019607843
41,2019-02-11,1.0980392156862744
42,2019-02-12,1.372549019607843
43,2019-02-13,1.6470588235294117
44,2019-02-14,4.117647058823529
45,2019-02-15,4.3921568627450975
46,2019-02-16,4.666666666666666
47,2019-02-17,4.666666666666666
48,2019-02-18,4.3921568627450975
49,2019-02-19,4.3921568627450975
50,2019-02-20,4.3921568627450975
51,2019-02-21,4.666666666666666
52,2019-02-22,4.666666666666666
53,2019-02-23,4.666666666666666
54,2019-02-24,4.941176470588235
55,2019-02-25,4.3921568627450975
56,2019-02-26,4.3921568627450975
57,2019-02-27,4.3921568627450975
58,2019-02-28,4.117647058823529
59,2019-03-01,3.547925608011445
60,2019-03-02,4.213161659513591
61,2019-03-03,3.7696709585121604
62,2019-03-04,3.547925608011445
63,2019-03-05,3.547925608011445
64,2019-03-06,3.7696709585121604
65,2019-03-07,3.7696709585121604
66,2019-03-08,3.547925608011445
67,2019-03-09,4.434907010014307
68,2019-03-10,5.3218884120171674
69,2019-03-11,5.3218884120171674
70,2019-03-12,5.1001430615164525
71,2019-03-13,5.1001430615164525
72,2019-03-14,4.878397711015737
73,2019-03-15,5.1001430615164525
74,2019-03-16,5.765379113018598
75,2019-03-17,5.765379113018598
76,2019-03-18,6.208869814020028
77,2019-03-19,5.987124463519313
78,2019-03-20,5.1001430615164525
79,2019-03-21,5.1001430615164525
80,2019-03-22,5.1001430615164525
81,2019-03-23,5.543633762517882
82,2019-03-24,5.3218884120171674
83,2019-03-25,5.3218884120171674
84,2019-03-26,5.987124463519313
85,2019-03-27,6.208869814020028
86,2019-03-28,5.765379113018598
87,2019-03-29,5.3218884120171674
88,2019-03-30,5.765379113018598
89,2019-03-31,5.765379113018598
90,2019-04-01,5.710659898477158
91,2019-04-02,5.4822335025380715
92,2019-04-03,5.4822335025380715
93,2019-04-04,5.710659898477158
94,2019-04-05,5.710659898477158
95,2019-04-06,5.939086294416244
96,2019-04-07,6.167512690355331
97,2019-04-08,5.710659898477158
98,2019-04-09,5.939086294416244
99,2019-04-10,5.4822335025380715
100,2019-04-11,5.710659898477158
101,2019-04-12,5.710659898477158
102,2019-04-13,5.939086294416244
103,2019-04-14,6.167512690355331
104,2019-04-15,5.4822335025380715
105,2019-04-16,5.710659898477158
106,2019-04-17,5.939086294416244
107,2019-04-18,5.939086294416244
108,2019-04-19,5.939086294416244
109,2019-04-20,5.710659898477158
110,2019-04-21,5.710659898477158
111,2019-04-22,5.939086294416244
112,2019-04-23,5.710659898477158
113,2019-04-24,7.766497461928934
114,2019-04-25,8.908629441624367
115,2019-04-26,5.939086294416244
116,2019-04-27,6.395939086294417
117,2019-04-28,6.395939086294417
118,2019-04-29,5.710659898477158
119,2019-04-30,5.939086294416244
120,2019-05-01,6.419942473633748
121,2019-05-02,6.419942473633748
122,2019-05-03,11.888782358581015
123,2019-05-04,13.790987535953978
124,2019-05-05,13.077660594439116
125,2019-05-06,11.888782358581015
126,2019-05-07,9.035474592521572
127,2019-05-08,6.182166826462128
128,2019-05-09,5.944391179290507
129,2019-05-10,5.944391179290507
130,2019-05-11,6.419942473633748
131,2019-05-12,6.419942473633748
132,2019-05-13,5.944391179290507
133,2019-05-14,5.944391179290507
134,2019-05-15,5.944391179290507
135,2019-05-16,5.944391179290507
136,2019-05-17,5.706615532118887
137,2019-05-18,6.182166826462128
138,2019-05-19,6.419942473633748
139,2019-05-20,5.944391179290507
140,2019-05-21,5.944391179290507
141,2019-05-22,5.944391179290507
142,2019-05-23,9.511025886864813
143,2019-05-24,11.413231064237774
144,2019-05-25,12.364333652924255
145,2019-05-26,11.888782358581015
146,2019-05-27,10.224352828379674
147,2019-05-28,10.699904122722915
148,2019-05-29,6.419942473633748
149,2019-05-30,5.944391179290507
150,2019-05-31,6.182166826462128
151,2019-06-01,9.624413145539906
152,2019-06-02,11.737089201877934
153,2019-06-03,12.67605633802817
154,2019-06-04,17.136150234741784
155,2019-06-05,23.474178403755868
156,2019-06-06,17.370892018779344
157,2019-06-07,15.023474178403756
158,2019-06-08,14.553990610328638
159,2019-06-09,13.380281690140846
160,2019-06-10,12.44131455399061
