,Den,iPhone
0,2019-01-01,79.92928134556576
1,2019-01-02,78.24655963302753
2,2019-01-03,82.45336391437309
3,2019-01-04,75.72247706422019
4,2019-01-05,81.61200305810398
5,2019-01-06,84.13608562691131
6,2019-01-07,70.67431192660551
7,2019-01-08,72.35703363914374
8,2019-01-09,67.30886850152905
9,2019-01-10,70.67431192660551
10,2019-01-11,68.15022935779817
11,2019-01-12,76.56383792048929
12,2019-01-13,77.40519877675841
13,2019-01-14,69.83295107033639
14,2019-01-15,68.15022935779817
15,2019-01-16,66.46750764525994
16,2019-01-17,67.30886850152905
17,2019-01-18,65.62614678899082
18,2019-01-19,74.88111620795107
19,2019-01-20,74.03975535168196
20,2019-01-21,66.46750764525994
21,2019-01-22,64.78478593272172
22,2019-01-23,66.46750764525994
23,2019-01-24,62.260703363914374
24,2019-01-25,64.78478593272172
25,2019-01-26,72.35703363914374
26,2019-01-27,73.19839449541284
27,2019-01-28,65.62614678899082
28,2019-01-29,63.102064220183486
29,2019-01-30,67.30886850152905
30,2019-01-31,63.102064220183486
31,2019-02-01,65.33333333333333
32,2019-02-02,73.70940170940172
33,2019-02-03,71.19658119658119
34,2019-02-04,61.14529914529915
35,2019-02-05,62.820512820512825
36,2019-02-06,57.794871794871796
37,2019-02-07,56.11965811965812
38,2019-02-08,60.30769230769231
39,2019-02-09,70.35897435897436
40,2019-02-10,70.35897435897436
41,2019-02-11,60.30769230769231
42,2019-02-12,56.95726495726496
43,2019-02-13,60.30769230769231
44,2019-02-14,56.95726495726496
45,2019-02-15,62.820512820512825
46,2019-02-16,67.84615384615385
47,2019-02-17,69.52136752136752
48,2019-02-18,61.14529914529915
49,2019-02-19,59.47008547008547
50,2019-02-20,60.30769230769231
51,2019-02-21,61.14529914529915
52,2019-02-22,61.14529914529915
53,2019-02-23,66.17094017094017
54,2019-02-24,67.84615384615385
55,2019-02-25,61.98290598290598
56,2019-02-26,60.30769230769231
57,2019-02-27,60.30769230769231
58,2019-02-28,60.30769230769231
59,2019-03-01,60.25447402880838
60,2019-03-02,69.33391532082061
61,2019-03-03,72.63553033609777
62,2019-03-04,59.42907027498909
63,2019-03-05,61.079877782627676
64,2019-03-06,58.60366652116979
65,2019-03-07,57.7782627673505
66,2019-03-08,60.25447402880838
67,2019-03-09,67.68310781318202
68,2019-03-10,66.85770405936272
69,2019-03-11,61.905281536446964
70,2019-03-12,56.95285901353121
71,2019-03-13,58.60366652116979
72,2019-03-14,57.7782627673505
73,2019-03-15,56.95285901353121
74,2019-03-16,63.55608904408555
75,2019-03-17,66.03230030554343
76,2019-03-18,59.42907027498909
77,2019-03-19,56.127455259711915
78,2019-03-20,56.95285901353121
79,2019-03-21,59.42907027498909
80,2019-03-22,58.60366652116979
81,2019-03-23,64.38149279790484
82,2019-03-24,61.079877782627676
83,2019-03-25,58.60366652116979
84,2019-03-26,59.42907027498909
85,2019-03-27,56.95285901353121
86,2019-03-28,57.7782627673505
87,2019-03-29,55.30205150589262
88,2019-03-30,66.85770405936272
89,2019-03-31,64.38149279790484
90,2019-04-01,59.25069380203515
91,2019-04-02,58.40425531914894
92,2019-04-03,60.943570767807586
93,2019-04-04,59.25069380203515
94,2019-04-05,59.25069380203515
95,2019-04-06,65.17576318223867
96,2019-04-07,67.71507863089732
97,2019-04-08,60.943570767807586
98,2019-04-09,59.25069380203515
99,2019-04-10,56.7113783533765
100,2019-04-11,57.557816836262724
101,2019-04-12,58.40425531914894
102,2019-04-13,68.56151711378354
103,2019-04-14,66.02220166512488
104,2019-04-15,60.09713228492137
105,2019-04-16,57.557816836262724
106,2019-04-17,60.09713228492137
107,2019-04-18,60.09713228492137
108,2019-04-19,62.63644773358002
109,2019-04-20,66.02220166512488
110,2019-04-21,65.17576318223867
111,2019-04-22,60.09713228492137
112,2019-04-23,60.09713228492137
113,2019-04-24,55.86493987049029
114,2019-04-25,59.25069380203515
115,2019-04-26,57.557816836262724
116,2019-04-27,66.8686401480111
117,2019-04-28,65.17576318223867
118,2019-04-29,58.40425531914894
119,2019-04-30,57.557816836262724
120,2019-05-01,64.0445632798574
121,2019-05-02,58.98841354723707
122,2019-05-03,60.67379679144385
123,2019-05-04,65.72994652406418
124,2019-05-05,67.41532976827094
125,2019-05-06,59.83110516934046
126,2019-05-07,58.145721925133685
127,2019-05-08,59.83110516934046
128,2019-05-09,57.3030303030303
129,2019-05-10,58.98841354723707
130,2019-05-11,64.88725490196079
131,2019-05-12,65.72994652406418
132,2019-05-13,57.3030303030303
133,2019-05-14,60.67379679144385
134,2019-05-15,58.145721925133685
135,2019-05-16,54.77495543672014
136,2019-05-17,56.46033868092692
137,2019-05-18,64.88725490196079
138,2019-05-19,64.0445632798574
139,2019-05-20,65.72994652406418
140,2019-05-21,58.98841354723707
141,2019-05-22,59.83110516934046
142,2019-05-23,55.61764705882353
143,2019-05-24,59.83110516934046
144,2019-05-25,66.57263814616755
145,2019-05-26,69.10071301247771
146,2019-05-27,58.98841354723707
147,2019-05-28,56.46033868092692
148,2019-05-29,60.67379679144385
149,2019-05-30,59.83110516934046
150,2019-05-31,61.516488413547236
151,2019-06-01,63.447037701974864
152,2019-06-02,68.45601436265709
153,2019-06-03,60.94254937163375
154,2019-06-04,60.94254937163375
155,2019-06-05,59.272890484739676
156,2019-06-06,59.272890484739676
157,2019-06-07,59.272890484739676
158,2019-06-08,65.11669658886893
159,2019-06-09,67.62118491921005
160,2019-06-10,62.61220825852783
161,2019-06-11,57.6032315978456
162,2019-06-12,59.272890484739676
163,2019-06-13,59.272890484739676
