,Den,iMac
0,2019-01-01,89.49957228400342
1,2019-01-02,91.88622754491017
2,2019-01-03,95.4662104362703
3,2019-01-04,95.4662104362703
4,2019-01-05,93.07955517536355
5,2019-01-06,90.69289991445679
6,2019-01-07,88.30624465355004
7,2019-01-08,87.11291702309666
8,2019-01-09,81.14627887082976
9,2019-01-10,83.53293413173652
10,2019-01-11,82.33960650128314
11,2019-01-12,91.88622754491017
12,2019-01-13,91.88622754491017
13,2019-01-14,87.11291702309666
14,2019-01-15,82.33960650128314
15,2019-01-16,106.20615911035073
16,2019-01-17,87.11291702309666
17,2019-01-18,78.75962360992301
18,2019-01-19,99.04619332763045
19,2019-01-20,96.65953806672368
20,2019-01-21,88.30624465355004
21,2019-01-22,93.07955517536355
22,2019-01-23,89.49957228400342
23,2019-01-24,91.88622754491017
24,2019-01-25,84.72626176218989
25,2019-01-26,87.11291702309666
26,2019-01-27,96.65953806672368
27,2019-01-28,91.88622754491017
28,2019-01-29,89.49957228400342
29,2019-01-30,90.69289991445679
30,2019-01-31,87.11291702309666
31,2019-02-01,90.06498194945848
32,2019-02-02,91.2346570397112
33,2019-02-03,86.55595667870035
34,2019-02-04,74.85920577617328
35,2019-02-05,87.72563176895306
36,2019-02-06,84.21660649819495
37,2019-02-07,81.87725631768953
38,2019-02-08,85.38628158844764
39,2019-02-09,81.87725631768953
40,2019-02-10,87.72563176895306
41,2019-02-11,79.53790613718411
42,2019-02-12,81.87725631768953
43,2019-02-13,79.53790613718411
44,2019-02-14,76.028880866426
45,2019-02-15,83.04693140794224
46,2019-02-16,78.3682310469314
47,2019-02-17,84.21660649819495
48,2019-02-18,79.53790613718411
49,2019-02-19,85.38628158844764
50,2019-02-20,78.3682310469314
51,2019-02-21,74.85920577617328
52,2019-02-22,79.53790613718411
53,2019-02-23,80.70758122743682
54,2019-02-24,80.70758122743682
55,2019-02-25,77.1985559566787
56,2019-02-26,70.18050541516246
57,2019-02-27,73.68953068592057
58,2019-02-28,73.68953068592057
59,2019-03-01,78.8364573570759
60,2019-03-02,84.71977507029052
61,2019-03-03,78.8364573570759
62,2019-03-04,80.01312089971883
63,2019-03-05,78.8364573570759
64,2019-03-06,78.8364573570759
65,2019-03-07,77.65979381443299
66,2019-03-08,77.65979381443299
67,2019-03-09,89.42642924086222
68,2019-03-10,77.65979381443299
69,2019-03-11,78.8364573570759
70,2019-03-12,74.1298031865042
71,2019-03-13,74.1298031865042
72,2019-03-14,65.89315838800374
73,2019-03-15,72.95313964386128
74,2019-03-16,72.95313964386128
75,2019-03-17,74.1298031865042
76,2019-03-18,76.48313027179006
77,2019-03-19,107.07638238050608
78,2019-03-20,117.6663542642924
79,2019-03-21,90.60309278350515
80,2019-03-22,82.36644798500467
81,2019-03-23,85.89643861293345
82,2019-03-24,80.01312089971883
83,2019-03-25,89.42642924086222
84,2019-03-26,87.07310215557638
85,2019-03-27,84.71977507029052
86,2019-03-28,76.48313027179006
87,2019-03-29,72.95313964386128
88,2019-03-30,68.2464854732896
89,2019-03-31,76.48313027179006
90,2019-04-01,89.97002997002997
91,2019-04-02,83.13686313686314
92,2019-04-03,86.55344655344656
93,2019-04-04,79.72027972027972
94,2019-04-05,86.55344655344656
95,2019-04-06,86.55344655344656
96,2019-04-07,80.85914085914087
97,2019-04-08,78.58141858141859
98,2019-04-09,78.58141858141859
99,2019-04-10,77.44255744255744
100,2019-04-11,77.44255744255744
101,2019-04-12,76.30369630369631
102,2019-04-13,76.30369630369631
103,2019-04-14,75.16483516483517
104,2019-04-15,77.44255744255744
105,2019-04-16,74.02597402597404
106,2019-04-17,76.30369630369631
107,2019-04-18,68.33166833166834
108,2019-04-19,71.74825174825175
109,2019-04-20,72.88711288711289
110,2019-04-21,67.1928071928072
111,2019-04-22,70.60939060939062
112,2019-04-23,71.74825174825175
113,2019-04-24,72.88711288711289
114,2019-04-25,70.60939060939062
115,2019-04-26,69.47052947052947
116,2019-04-27,70.60939060939062
117,2019-04-28,71.74825174825175
118,2019-04-29,71.74825174825175
119,2019-04-30,69.47052947052947
120,2019-05-01,76.15318935208438
121,2019-05-02,69.33350075339027
122,2019-05-03,76.15318935208438
123,2019-05-04,85.24610748367655
124,2019-05-05,75.01657458563537
125,2019-05-06,86.38272225012557
126,2019-05-07,73.87995981918634
127,2019-05-08,72.74334505273733
128,2019-05-09,70.47011551983928
129,2019-05-10,69.33350075339027
130,2019-05-11,69.33350075339027
131,2019-05-12,70.47011551983928
132,2019-05-13,67.06027122049223
133,2019-05-14,70.47011551983928
134,2019-05-15,68.19688598694124
135,2019-05-16,80.69964841788047
136,2019-05-17,76.15318935208438
137,2019-05-18,70.47011551983928
138,2019-05-19,73.87995981918634
139,2019-05-20,69.33350075339027
140,2019-05-21,73.87995981918634
141,2019-05-22,76.15318935208438
142,2019-05-23,65.9236564540432
143,2019-05-24,70.47011551983928
144,2019-05-25,69.33350075339027
145,2019-05-26,78.42641888498243
146,2019-05-27,72.74334505273733
147,2019-05-28,71.60673028628831
148,2019-05-29,73.87995981918634
149,2019-05-30,71.60673028628831
150,2019-05-31,68.19688598694124
151,2019-06-01,69.81927710843372
152,2019-06-02,70.96385542168673
153,2019-06-03,83.55421686746986
154,2019-06-04,100.72289156626505
155,2019-06-05,92.71084337349396
156,2019-06-06,81.26506024096385
157,2019-06-07,82.40963855421685
158,2019-06-08,78.97590361445782
159,2019-06-09,80.12048192771083
160,2019-06-10,75.54216867469879
161,2019-06-11,78.97590361445782
162,2019-06-12,76.68674698795179
163,2019-06-13,75.54216867469879
