date,weighted_average_sentiment
2019-01-01,0.9999391291087658
2019-01-02,0.17965559646989612
2019-01-03,0.17491104670173402
2019-01-04,0.6574305273947103
2019-01-05,0.9999218199293736
2019-01-06,-0.9793082150622137
2019-01-07,-0.9932335397575291
2019-01-09,0.26879402902500604
2019-01-10,0.9939477202951729
2019-01-11,0.6163870251936497
2019-01-12,-0.995181889393518
2019-01-14,0.6602531370645955
2019-01-15,0.0
2019-01-16,0.46577466884866847
2019-01-17,1.3545226847999211e-13
2019-01-18,0.5434282064213931
2019-01-21,7.400874078995014e-12
2019-01-22,0.3531959629644093
2019-01-23,0.2128411399066141
2019-01-24,0.7134523994923871
2019-01-25,0.9970411241890248
2019-01-27,0.9999275194246233
2019-01-28,0.9999337489379919
2019-01-29,3.693509761410755e-07
2019-01-30,0.49986783393212575
2019-01-31,0.9998268441844906
2019-02-01,0.7383516130697519
2019-02-04,0.002923557548875
2019-02-05,0.09595534869564769
2019-02-06,0.9999770448736938
2019-02-07,0.9788505106201558
2019-02-08,0.8768046734770927
2019-02-11,0.8756359772698238
2019-02-12,0.8598872888062749
2019-02-13,-0.2936953887392402
2019-02-14,0.6669234681597803
2019-02-15,0.2122433622658456
2019-02-16,0.0681658207056947
2019-02-17,0.9681817813371663
2019-02-18,0.8815221017417535
2019-02-19,0.39204346312754723
2019-02-20,-0.9571623906123377
2019-02-21,0.7961500650537073
2019-02-22,0.5444792150816671
2019-02-25,0.9047590560231142
2019-02-26,0.46337640561697907
2019-02-27,0.8190928419881826
2019-02-28,-0.2498265837101996
2019-03-01,-0.9995707706809426
2019-03-02,0.9466402889419432
2019-03-03,0.9993264041181821
2019-03-04,0.8939476922494709
2019-03-05,0.9994899022464581
2019-03-06,0.54623589896173
2019-03-08,0.9999279220198956
2019-03-09,0.0002335927919512
2019-03-11,0.9998256246357506
2019-03-12,0.9890220340978616
2019-03-14,0.2941488455020146
2019-03-15,4.65006712251345e-12
2019-03-17,-0.08619408265595419
2019-03-18,0.3898994586231049
2019-03-19,0.9973149017506504
2019-03-20,0.3527200720825269
2019-03-21,0.7506325251684672
2019-03-22,0.35336999742869146
2019-03-25,-0.9999945166646256
2019-03-26,0.9999718515235198
2019-03-27,0.015232001591729296
2019-03-28,0.9998445116980191
2019-03-29,0.9997551688748326
2019-04-01,0.9857639598551373
2019-04-02,-0.4999778199706493
2019-04-03,0.9999472762017332
2019-04-04,0.9909763884436511
2019-04-05,0.9998950530977347
2019-04-06,0.998407240085003
2019-04-07,0.9902113979224277
2019-04-08,0.9961146280758297
2019-04-09,0.4191585548915257
2019-04-10,0.9998931901628084
2019-04-11,0.9991603118044731
2019-04-12,0.9977398606073558
2019-04-14,0.019798640218481
2019-04-15,0.5539502010508789
2019-04-16,0.9929525776949402
2019-04-17,-0.002029213389990181
2019-04-19,0.9999852913786322
2019-04-21,0.9995201155565311
2019-04-22,0.3555573277766599
2019-04-23,-0.5267139491636315
2019-04-24,0.9865083915595309
2019-04-25,0.8474977323090852
2019-04-26,-0.9998919674607918
2019-04-28,-0.4183271457725566
2019-04-29,0.9998998868150916
2019-04-30,0.9999863362838988
2019-05-01,0.5000291629992091
2019-05-02,0.6652395676065153
2019-05-03,0.9984245253433431
2019-05-04,0.29302098982241864
2019-05-06,0.7997506936205244
2019-05-07,-0.08121013464279447
2019-05-08,0.5000409099374336
2019-05-09,0.7802506017373495
2019-05-10,0.948289562563392
2019-05-13,-0.49999891432546206
2019-05-14,0.06504778732593126
2019-05-15,0.4857386728672842
2019-05-16,0.9797005249798408
2019-05-17,0.333660874014616
2019-05-19,0.9999072295246105
2019-05-20,0.03123823666913257
2019-05-22,0.9999854142870529
2019-05-23,0.9998113892820784
2019-05-24,0.6449582073850773
2019-05-27,0.9779722888443338
2019-05-28,0.9995549264387298
2019-05-29,-8.183311938237542e-11
2019-05-30,0.6603693419870166
2019-05-31,0.00488423290067905
2019-06-03,-0.20552947788579426
2019-06-04,0.5935214625402332
2019-06-05,-0.7880028903068715
2019-06-06,0.4999941384482978
2019-06-07,0.29486567054323487
2019-06-09,0.9343062742850607
2019-06-10,-0.17639278188575053
2019-06-11,0.6620771908138808
2019-06-13,0.8383401556992953
2019-06-14,1.0949433504410504e-07
2019-06-15,-0.9908120619182824
2019-06-16,0.8898802004032399
2019-06-17,0.998891356748614
2019-06-18,0.10362044070095623
2019-06-19,0.5823161361888364
2019-06-20,0.41500510309818306
2019-06-21,0.6362108969353778
2019-06-22,0.5786647867939465
2019-06-24,0.6453580261743445
2019-06-25,0.6001373176337601
2019-06-26,0.7625898399979877
2019-06-27,0.4099043477693934
2019-06-28,0.5491906434187245
2019-07-01,0.5634024708582862
2019-07-02,0.939016525864783
2019-07-03,1.7391541504641116e-12
2019-07-04,0.9999225448789727
2019-07-05,-0.5404190437590042
2019-07-08,0.8601014812363006
2019-07-09,0.9994254656865053
2019-07-10,0.9997964501214092
2019-07-11,0.9968479193891483
2019-07-12,0.9996670888646677
2019-07-13,0.4999954584795968
2019-07-14,-0.9998993589085836
2019-07-15,0.39733962529710826
2019-07-16,-0.20573134705160015
2019-07-17,-6.836901395978557e-07
2019-07-18,0.9933954398283277
2019-07-19,-0.4047895407391378
2019-07-20,0.9997040661224306
2019-07-21,0.3529396002006492
2019-07-22,0.9999840504679138
2019-07-23,0.5230605679928102
2019-07-24,0.7436380128597297
2019-07-25,0.7855808306553896
2019-07-26,0.4999290812839223
2019-07-28,-0.6544740385226259
2019-07-29,0.2718408487830634
2019-07-30,0.4023640792160709
2019-08-01,0.6167899095039435
