date,weighted_average_sentiment
2019-01-01,0.9912369645166169
2019-01-02,0.34575293613459884
2019-01-03,0.2193601277081838
2019-01-04,0.5499793393293356
2019-01-05,0.2468015637497068
2019-01-06,0.6455531710076848
2019-01-07,0.4243790150633771
2019-01-08,0.7018182190443547
2019-01-09,0.23014618718376076
2019-01-10,0.5810733841464654
2019-01-11,0.5690222090594453
2019-01-12,0.8295811728912388
2019-01-13,0.6804173683453709
2019-01-14,0.7806391919259166
2019-01-15,0.7558726475895597
2019-01-16,0.6335721287798768
2019-01-17,0.5586412634043417
2019-01-18,0.8455209147377366
2019-01-19,0.9952192757227828
2019-01-20,0.7286574330059614
2019-01-21,0.6569236003937416
2019-01-22,0.7415682748152048
2019-01-23,0.7093627282917897
2019-01-24,0.7588888472533899
2019-01-25,0.7783119019365767
2019-01-26,0.6630684881992036
2019-01-27,0.61912938960145
2019-01-28,0.6849641106949976
2019-01-29,0.41927943909139426
2019-01-30,0.64013983870182
2019-01-31,0.6219023288699824
2019-02-01,0.673196217285006
2019-02-02,0.9995659711657945
2019-02-03,0.8764205896852
2019-02-04,0.8409436430217021
2019-02-05,0.8403353205766374
2019-02-06,0.5010973217505178
2019-02-07,0.7852065575513184
2019-02-08,0.6706635302459139
2019-02-09,0.6474551218908312
2019-02-10,0.6880120984914196
2019-02-11,0.8814255528385384
2019-02-12,0.6124186166859146
2019-02-13,0.7655999802768971
2019-02-14,0.7597391008577872
2019-02-15,0.8653637679548503
2019-02-16,0.7961751664615868
2019-02-17,0.6774510824877572
2019-02-18,0.7755498475780724
2019-02-19,0.8689451190186473
2019-02-20,0.6771653607921303
2019-02-21,0.75316707332437
2019-02-22,0.7479414130622403
2019-02-23,0.8961541323888564
2019-02-24,0.8558237067444139
2019-02-25,0.694011566723662
2019-02-26,0.49926083120775533
2019-02-27,0.6385022644426473
2019-02-28,0.663588490826669
2019-03-01,0.5735710250880678
2019-03-02,0.11778215514788126
2019-03-03,0.7530445212696576
2019-03-04,0.937109150962587
2019-03-05,0.8153589295088661
2019-03-06,0.5868276243499285
2019-03-07,0.7577260901928814
2019-03-08,0.7734366647485812
2019-03-09,0.8360605365109205
2019-03-10,0.6683904229956313
2019-03-11,0.8056625079176495
2019-03-12,0.8121207779101349
2019-03-13,0.7277100504466475
2019-03-14,0.730045679650475
2019-03-15,0.8103550068343832
2019-03-16,0.8277512124014923
2019-03-17,0.5775051219018725
2019-03-18,0.7528190156065963
2019-03-19,0.5886221561050884
2019-03-20,0.46314786752485293
2019-03-21,0.9298321770620076
2019-03-22,0.6710199443665837
2019-03-23,0.9801191079697964
2019-03-24,0.7696020075471172
2019-03-25,0.8531392007593063
2019-03-26,0.8669653934571001
2019-03-27,0.7229281113457483
2019-03-28,0.6792925358283212
2019-03-29,0.4726316227857575
2019-03-30,0.72142747877673
2019-03-31,0.5368203775815951
2019-04-01,0.6893770307308734
2019-04-02,0.725412451408269
2019-04-03,0.8087816386375014
2019-04-04,0.7196455548893066
2019-04-05,0.6790075295894495
2019-04-06,0.48651228164305677
2019-04-07,0.8530744528881384
2019-04-08,0.7493225308150644
2019-04-09,0.6726219465113892
2019-04-10,0.7943093858865269
2019-04-11,0.7307662020420123
2019-04-12,0.7557216626146285
2019-04-13,0.5693052292936002
2019-04-14,0.9981652274083086
2019-04-15,0.7860723772357544
2019-04-16,0.7108286876777076
2019-04-17,0.7666071743552033
2019-04-18,0.7214095939084451
2019-04-19,0.6297544800106757
2019-04-20,0.9874522395724016
2019-04-21,0.9877341645623071
2019-04-22,0.9315803886373402
2019-04-23,0.8552292466465962
2019-04-24,0.7943398342482668
2019-04-25,0.7251054431498829
2019-04-26,0.7824102955373966
2019-04-27,0.4073639178341201
2019-04-28,0.5930438036621444
2019-04-29,0.7668703915897215
2019-04-30,0.7036033068241655
2019-05-01,0.2870807543180502
2019-05-02,0.5115448336852272
2019-05-03,0.6810200066418626
2019-05-04,0.7915329975232153
2019-05-05,0.38792203795997476
2019-05-06,0.8154564650720245
2019-05-07,0.754738012844143
2019-05-08,0.7499576004082015
2019-05-09,0.82198272655004
2019-05-10,0.5562327656369025
2019-05-11,0.601830932477371
2019-05-12,0.5710348375608338
2019-05-13,0.6304181560209882
2019-05-14,0.7772145633568067
2019-05-15,0.7962451865802743
2019-05-16,0.7053401591622039
2019-05-17,0.8630019731544344
2019-05-18,0.9318635694748812
2019-05-19,0.7368302458286671
2019-05-20,0.8730212487678681
2019-05-21,0.7248364517037194
2019-05-22,0.769869118883846
2019-05-23,0.6518172908734453
2019-05-24,0.8121034469000027
2019-05-25,0.9178463428381223
2019-05-26,0.6722728625177945
2019-05-27,0.5791921814009516
2019-05-28,0.556138992956896
2019-05-29,0.809975219780159
2019-05-30,0.5957260808745803
2019-05-31,0.7592908170521196
2019-06-01,0.6069294859478962
2019-06-02,0.8158869192973007
2019-06-03,0.8441978264948636
2019-06-04,0.7821598375846721
2019-06-05,0.8507142698478062
2019-06-06,0.9090869778581668
2019-06-07,0.7376318069085794
2019-06-08,0.9341008093641342
2019-06-09,0.8391798251308334
2019-06-10,0.7893130346659115
2019-06-11,0.8490284985311737
2019-06-12,0.8024330686571649
2019-06-13,0.6588765538600719
2019-06-14,0.8134519019297991
2019-06-15,0.9305451272217145
2019-06-16,0.788419730958711
2019-06-17,0.7071641405262498
2019-06-18,0.7560073693210038
2019-06-19,0.8068139390095981
2019-06-20,0.6809838936903948
2019-06-21,0.5643831188824867
2019-06-22,0.9945395165370342
2019-06-23,0.17737786534691272
2019-06-24,0.8028970474766608
