date,weighted_average_sentiment
2019-01-01,0.8687619678864505
2019-01-02,0.6705926477639544
2019-01-03,0.7960044490761933
2019-01-04,0.9381731753031706
2019-01-05,0.76724229376908
2019-01-06,0.43567020290320085
2019-01-07,0.9262019519560553
2019-01-08,0.93368952467591
2019-01-09,0.8278503451989997
2019-01-10,0.9018760742050824
2019-01-11,0.5732722056293449
2019-01-12,0.7107505295463702
2019-01-13,0.7532731156828189
2019-01-14,0.795705475284404
2019-01-15,0.608999462846764
2019-01-16,0.6855560330379478
2019-01-17,0.8714348093882657
2019-01-18,0.8988522419145369
2019-01-19,0.9898374402942133
2019-01-20,0.1727954788694147
2019-01-21,0.6740351377179883
2019-01-22,0.8055756171056013
2019-01-23,0.6785452661425323
2019-01-24,0.6889791594050573
2019-01-25,0.4863168874789045
2019-01-26,0.9999917734997359
2019-01-27,0.9961810281443348
2019-01-28,0.3536115695782478
2019-01-29,0.3810558238265422
2019-01-30,0.7552128617097843
2019-01-31,0.6843240959585235
2019-02-01,0.8955001064669178
2019-02-02,0.5609978882427782
2019-02-03,0.5316779979149295
2019-02-04,0.6870551830431464
2019-02-05,0.5478833128475062
2019-02-06,0.7213276531105952
2019-02-07,0.9323790704872758
2019-02-08,0.5563305941259009
2019-02-09,0.7711357925536241
2019-02-10,0.9978353827023736
2019-02-11,0.8352477714775847
2019-02-12,0.6679992598506166
2019-02-13,0.6236180709098417
2019-02-14,0.9383586449240128
2019-02-15,0.7919986885858377
2019-02-16,-0.11779873035602433
2019-02-17,0.6263623253442967
2019-02-18,0.7466199645504876
2019-02-19,0.9412097559959246
2019-02-20,0.6494042950876253
2019-02-21,0.9971835712047712
2019-02-22,0.6884631128080272
2019-02-23,0.8938823752134322
2019-02-24,0.7678764591818166
2019-02-25,0.8609179850514748
2019-02-26,0.8038082350185975
2019-02-27,0.6526230179098951
2019-02-28,0.8728358593248806
2019-03-01,0.7395269895053056
2019-03-02,0.9998519152139723
2019-03-03,0.5479853571315586
2019-03-04,0.6472902486143635
2019-03-05,0.7924383614852228
2019-03-06,0.8552909053140229
2019-03-07,0.6741833851910111
2019-03-08,0.46033536756001536
2019-03-09,0.48398412173746397
2019-03-10,0.9753379295999475
2019-03-11,0.9983687624284531
2019-03-12,0.8476192689509622
2019-03-13,0.8058269382368841
2019-03-14,0.7981056988291305
2019-03-15,0.9348333241486573
2019-03-16,0.9994767177719318
2019-03-17,0.999847826098357
2019-03-18,0.8380968538737349
2019-03-19,0.6058565168879368
2019-03-20,0.8944527809847832
2019-03-21,0.7766152916439536
2019-03-22,0.9974874118310453
2019-03-23,0.9998640741734564
2019-03-24,0.9782527289232141
2019-03-25,0.9971313712798026
2019-03-26,0.9044548450278274
2019-03-27,0.9920380126982362
2019-03-28,0.18600286580872274
2019-03-29,0.6533087371442935
2019-03-30,0.6752183488393865
2019-03-31,0.8363757855137331
2019-04-01,0.8108659240413327
2019-04-02,0.4848394728251798
2019-04-03,0.6603209312282189
2019-04-04,0.7116283802877857
2019-04-05,0.741639903988313
2019-04-06,0.5655755585193379
2019-04-07,0.9991849444090428
2019-04-08,0.9633448452515205
2019-04-09,0.698362883511514
2019-04-10,0.9275587873173894
2019-04-11,0.736376991850374
2019-04-12,0.7464221944281432
2019-04-13,0.9582432985327153
2019-04-14,0.9933916807120825
2019-04-15,0.684806179858883
2019-04-16,0.8874164986621332
2019-04-17,0.32858545971654307
2019-04-18,0.6062409000639656
2019-04-19,0.6524923501714947
2019-04-20,0.3192645353177047
2019-04-21,0.7425667411141048
2019-04-22,0.9994944407627616
2019-04-23,0.3962098974918633
2019-04-24,0.8545439504206216
2019-04-25,0.7956507161227151
2019-04-26,0.6432718683961577
2019-04-27,0.02206240581702791
2019-04-28,0.9998153070925275
2019-04-29,0.828526084760162
2019-04-30,0.6250606340588466
2019-05-01,0.8836494920108464
2019-05-02,0.995027141181173
2019-05-03,0.8832301419313994
2019-05-04,0.9978504813058011
2019-05-05,0.7547822865274308
2019-05-06,0.9005895867399278
2019-05-07,0.7778720701808907
2019-05-08,0.6508138917507903
2019-05-09,0.7891304134006766
2019-05-10,0.7877499689895892
2019-05-11,0.865345880723709
2019-05-12,0.6921770503344471
2019-05-13,0.8001207126763016
2019-05-14,0.6947217901573488
2019-05-15,0.8282521947911243
2019-05-16,0.5703672754340601
2019-05-17,0.7285497218880511
2019-05-18,0.7073524127205114
2019-05-19,0.700437975201299
2019-05-20,0.7473749769369702
2019-05-21,0.7924635320683616
2019-05-22,0.8090572965113769
2019-05-23,0.510763905793456
2019-05-24,0.7583375742573822
2019-05-25,0.9999259302521947
2019-05-26,0.738255072808443
2019-05-27,0.8518430294864189
2019-05-28,0.7557794059514037
2019-05-29,0.5343358128771274
2019-05-30,0.6794735312104018
2019-05-31,0.5623899765315015
2019-06-01,0.7974907023193254
2019-06-02,0.9998323491081267
2019-06-03,0.8438671889017908
2019-06-04,0.7696587015791603
2019-06-05,0.7124826162302114
2019-06-06,0.9334798188720934
2019-06-07,0.9221818273722595
2019-06-08,0.9999861521624501
2019-06-09,0.7708171728908525
2019-06-10,0.8546465059573947
2019-06-11,0.7739114558457667
2019-06-12,0.7904745198719835
2019-06-13,0.9501626704673327
2019-06-14,0.6508961751141857
2019-06-15,0.25735628283223844
2019-06-16,0.5345836042462822
2019-06-17,0.9108417146241606
2019-06-18,0.9293249923769659
2019-06-19,0.9513149609611588
2019-06-20,0.6982194127305191
2019-06-21,0.8641298370395041
2019-06-22,0.5180045215309441
2019-06-23,0.46554504298399485
2019-06-24,0.7424972867471283
