,Den,Kryptoměna: (Celosvětově)
0,2019-01-01,5.949999999999999
1,2019-01-02,7.175
2,2019-01-03,7.0
3,2019-01-04,7.5249999999999995
4,2019-01-05,7.0
5,2019-01-06,7.5249999999999995
6,2019-01-07,7.699999999999999
7,2019-01-08,7.5249999999999995
8,2019-01-09,9.1
9,2019-01-10,9.975
10,2019-01-11,7.5249999999999995
11,2019-01-12,6.475
12,2019-01-13,7.0
13,2019-01-14,7.699999999999999
14,2019-01-15,7.874999999999999
15,2019-01-16,6.6499999999999995
16,2019-01-17,6.6499999999999995
17,2019-01-18,6.3
18,2019-01-19,6.125
19,2019-01-20,5.25
20,2019-01-21,6.475
21,2019-01-22,6.6499999999999995
22,2019-01-23,7.175
23,2019-01-24,6.6499999999999995
24,2019-01-25,6.475
25,2019-01-26,5.7749999999999995
26,2019-01-27,6.3
27,2019-01-28,7.35
28,2019-01-29,7.0
29,2019-01-30,6.6499999999999995
30,2019-01-31,6.475
31,2019-02-01,6.6145648312611005
32,2019-02-02,5.744227353463588
33,2019-02-03,6.092362344582593
34,2019-02-04,7.136767317939609
35,2019-02-05,10.095914742451154
36,2019-02-06,9.573712255772646
37,2019-02-07,6.962699822380106
38,2019-02-08,7.3108348134991115
39,2019-02-09,6.788632326820603
40,2019-02-10,6.266429840142096
41,2019-02-11,6.6145648312611005
42,2019-02-12,6.440497335701599
43,2019-02-13,6.6145648312611005
44,2019-02-14,6.788632326820603
45,2019-02-15,6.6145648312611005
46,2019-02-16,6.092362344582593
47,2019-02-17,6.6145648312611005
48,2019-02-18,8.355239786856128
49,2019-02-19,7.3108348134991115
50,2019-02-20,7.136767317939609
51,2019-02-21,6.962699822380106
52,2019-02-22,6.962699822380106
53,2019-02-23,6.6145648312611005
54,2019-02-24,7.83303730017762
55,2019-02-25,6.962699822380106
56,2019-02-26,6.788632326820603
57,2019-02-27,6.788632326820603
58,2019-02-28,5.91829484902309
59,2019-03-01,7.195462478184991
60,2019-03-02,5.869982547993019
61,2019-03-03,6.2486910994764395
62,2019-03-04,7.384816753926701
63,2019-03-05,7.763525305410122
64,2019-03-06,7.763525305410122
65,2019-03-07,7.006108202443281
66,2019-03-08,7.006108202443281
67,2019-03-09,7.006108202443281
68,2019-03-10,7.006108202443281
69,2019-03-11,7.195462478184991
70,2019-03-12,7.5741710296684115
71,2019-03-13,7.195462478184991
72,2019-03-14,7.006108202443281
73,2019-03-15,6.816753926701571
74,2019-03-16,6.62739965095986
75,2019-03-17,7.006108202443281
76,2019-03-18,6.43804537521815
77,2019-03-19,7.384816753926701
78,2019-03-20,7.384816753926701
79,2019-03-21,7.5741710296684115
80,2019-03-22,7.195462478184991
81,2019-03-23,6.43804537521815
82,2019-03-24,6.2486910994764395
83,2019-03-25,6.816753926701571
84,2019-03-26,7.006108202443281
85,2019-03-27,7.195462478184991
86,2019-03-28,7.006108202443281
87,2019-03-29,7.006108202443281
88,2019-03-30,7.006108202443281
89,2019-03-31,6.62739965095986
90,2019-04-01,6.496519721577726
91,2019-04-02,11.693735498839906
92,2019-04-03,13.364269141531322
93,2019-04-04,10.951276102088167
94,2019-04-05,8.16705336426914
95,2019-04-06,7.795823665893272
96,2019-04-07,7.424593967517401
97,2019-04-08,8.352668213457076
98,2019-04-09,7.981438515081206
99,2019-04-10,8.16705336426914
100,2019-04-11,8.16705336426914
101,2019-04-12,8.16705336426914
102,2019-04-13,7.795823665893272
103,2019-04-14,7.424593967517401
104,2019-04-15,7.610208816705336
105,2019-04-16,7.424593967517401
106,2019-04-17,6.867749419953596
107,2019-04-18,6.867749419953596
108,2019-04-19,7.053364269141531
109,2019-04-20,6.867749419953596
110,2019-04-21,6.867749419953596
111,2019-04-22,7.238979118329466
112,2019-04-23,7.053364269141531
113,2019-04-24,8.16705336426914
114,2019-04-25,7.795823665893272
115,2019-04-26,7.981438515081206
116,2019-04-27,8.53828306264501
117,2019-04-28,7.053364269141531
118,2019-04-29,7.053364269141531
119,2019-04-30,7.610208816705336
120,2019-05-01,6.791800128122999
121,2019-05-02,6.791800128122999
122,2019-05-03,7.68545803971813
123,2019-05-04,6.791800128122999
124,2019-05-05,6.255605381165919
125,2019-05-06,6.970531710442025
126,2019-05-07,7.506726457399104
127,2019-05-08,8.400384368994235
128,2019-05-09,6.791800128122999
129,2019-05-10,7.68545803971813
130,2019-05-11,10.008968609865471
131,2019-05-12,8.57911595131326
132,2019-05-13,10.366431774503525
133,2019-05-14,12.868673926969892
134,2019-05-15,12.689942344650866
135,2019-05-16,12.689942344650866
136,2019-05-17,9.65150544522742
137,2019-05-18,8.042921204356183
138,2019-05-19,8.757847533632287
139,2019-05-20,8.57911595131326
140,2019-05-21,11.796284433055733
141,2019-05-22,10.187700192184497
142,2019-05-23,9.11531069827034
143,2019-05-24,8.936579115951314
144,2019-05-25,7.68545803971813
145,2019-05-26,7.8641896220371565
146,2019-05-27,10.902626521460602
147,2019-05-28,10.187700192184497
148,2019-05-29,9.830237027546445
149,2019-05-30,10.008968609865471
150,2019-05-31,8.57911595131326
151,2019-06-01,7.757166947723441
152,2019-06-02,7.925801011804385
153,2019-06-03,7.925801011804385
154,2019-06-04,8.600337268128163
155,2019-06-05,7.419898819561552
156,2019-06-06,7.588532883642496
157,2019-06-07,7.925801011804385
158,2019-06-08,7.419898819561552
159,2019-06-09,7.251264755480608
160,2019-06-10,7.757166947723441
161,2019-06-11,7.925801011804385
162,2019-06-12,7.925801011804385
163,2019-06-13,8.094435075885329
164,2019-06-14,9.106239460370995
165,2019-06-15,7.925801011804385
