,Den,Bitcoin: (Celosvětově)
0,2019-01-01,14.74757281553398
1,2019-01-02,16.854368932038835
2,2019-01-03,16.854368932038835
3,2019-01-04,14.74757281553398
4,2019-01-05,14.74757281553398
5,2019-01-06,14.74757281553398
6,2019-01-07,14.74757281553398
7,2019-01-08,14.74757281553398
8,2019-01-09,16.854368932038835
9,2019-01-10,16.854368932038835
10,2019-01-11,14.74757281553398
11,2019-01-12,14.74757281553398
12,2019-01-13,14.74757281553398
13,2019-01-14,14.74757281553398
14,2019-01-15,14.74757281553398
15,2019-01-16,14.74757281553398
16,2019-01-17,12.640776699029125
17,2019-01-18,12.640776699029125
18,2019-01-19,12.640776699029125
19,2019-01-20,12.640776699029125
20,2019-01-21,12.640776699029125
21,2019-01-22,12.640776699029125
22,2019-01-23,12.640776699029125
23,2019-01-24,12.640776699029125
24,2019-01-25,12.640776699029125
25,2019-01-26,10.533980582524272
26,2019-01-27,10.533980582524272
27,2019-01-28,14.74757281553398
28,2019-01-29,14.74757281553398
29,2019-01-30,12.640776699029125
30,2019-01-31,12.640776699029125
31,2019-02-01,13.213483146067416
32,2019-02-02,11.01123595505618
33,2019-02-03,11.01123595505618
34,2019-02-04,13.213483146067416
35,2019-02-05,15.415730337078653
36,2019-02-06,15.415730337078653
37,2019-02-07,13.213483146067416
38,2019-02-08,15.415730337078653
39,2019-02-09,13.213483146067416
40,2019-02-10,13.213483146067416
41,2019-02-11,13.213483146067416
42,2019-02-12,13.213483146067416
43,2019-02-13,13.213483146067416
44,2019-02-14,13.213483146067416
45,2019-02-15,13.213483146067416
46,2019-02-16,11.01123595505618
47,2019-02-17,11.01123595505618
48,2019-02-18,17.617977528089888
49,2019-02-19,17.617977528089888
50,2019-02-20,15.415730337078653
51,2019-02-21,15.415730337078653
52,2019-02-22,15.415730337078653
53,2019-02-23,15.415730337078653
54,2019-02-24,17.617977528089888
55,2019-02-25,15.415730337078653
56,2019-02-26,13.213483146067416
57,2019-02-27,13.213483146067416
58,2019-02-28,13.213483146067416
59,2019-03-01,12.827586206896552
60,2019-03-02,10.689655172413792
61,2019-03-03,10.689655172413792
62,2019-03-04,12.827586206896552
63,2019-03-05,12.827586206896552
64,2019-03-06,12.827586206896552
65,2019-03-07,12.827586206896552
66,2019-03-08,10.689655172413792
67,2019-03-09,12.827586206896552
68,2019-03-10,10.689655172413792
69,2019-03-11,12.827586206896552
70,2019-03-12,12.827586206896552
71,2019-03-13,12.827586206896552
72,2019-03-14,10.689655172413792
73,2019-03-15,12.827586206896552
74,2019-03-16,10.689655172413792
75,2019-03-17,10.689655172413792
76,2019-03-18,12.827586206896552
77,2019-03-19,12.827586206896552
78,2019-03-20,12.827586206896552
79,2019-03-21,12.827586206896552
80,2019-03-22,12.827586206896552
81,2019-03-23,10.689655172413792
82,2019-03-24,10.689655172413792
83,2019-03-25,10.689655172413792
84,2019-03-26,12.827586206896552
85,2019-03-27,12.827586206896552
86,2019-03-28,12.827586206896552
87,2019-03-29,12.827586206896552
88,2019-03-30,10.689655172413792
89,2019-03-31,10.689655172413792
90,2019-04-01,13.670886075949365
91,2019-04-02,31.898734177215186
92,2019-04-03,31.898734177215186
93,2019-04-04,25.063291139240505
94,2019-04-05,20.506329113924046
95,2019-04-06,18.22784810126582
96,2019-04-07,18.22784810126582
97,2019-04-08,20.506329113924046
98,2019-04-09,18.22784810126582
99,2019-04-10,18.22784810126582
100,2019-04-11,18.22784810126582
101,2019-04-12,18.22784810126582
102,2019-04-13,13.670886075949365
103,2019-04-14,15.949367088607593
104,2019-04-15,15.949367088607593
105,2019-04-16,15.949367088607593
106,2019-04-17,15.949367088607593
107,2019-04-18,15.949367088607593
108,2019-04-19,15.949367088607593
109,2019-04-20,15.949367088607593
110,2019-04-21,15.949367088607593
111,2019-04-22,15.949367088607593
112,2019-04-23,20.506329113924046
113,2019-04-24,18.22784810126582
114,2019-04-25,15.949367088607593
115,2019-04-26,18.22784810126582
116,2019-04-27,13.670886075949365
117,2019-04-28,13.670886075949365
118,2019-04-29,13.670886075949365
119,2019-04-30,15.949367088607593
120,2019-05-01,12.434540389972145
121,2019-05-02,14.506963788300837
122,2019-05-03,18.65181058495822
123,2019-05-04,16.57938718662953
124,2019-05-05,16.57938718662953
125,2019-05-06,16.57938718662953
126,2019-05-07,18.65181058495822
127,2019-05-08,18.65181058495822
128,2019-05-09,20.72423398328691
129,2019-05-10,22.796657381615603
130,2019-05-11,31.086350974930365
131,2019-05-12,31.086350974930365
132,2019-05-13,35.231197771587745
133,2019-05-14,39.37604456824513
134,2019-05-15,31.086350974930365
135,2019-05-16,31.086350974930365
136,2019-05-17,31.086350974930365
137,2019-05-18,22.796657381615603
138,2019-05-19,26.941504178272982
139,2019-05-20,24.86908077994429
140,2019-05-21,24.86908077994429
141,2019-05-22,22.796657381615603
142,2019-05-23,20.72423398328691
143,2019-05-24,20.72423398328691
144,2019-05-25,18.65181058495822
145,2019-05-26,20.72423398328691
146,2019-05-27,31.086350974930365
147,2019-05-28,26.941504178272982
148,2019-05-29,26.941504178272982
149,2019-05-30,24.86908077994429
150,2019-05-31,24.86908077994429
151,2019-06-01,21.323529411764707
152,2019-06-02,21.323529411764707
153,2019-06-03,21.323529411764707
154,2019-06-04,25.588235294117645
155,2019-06-05,23.455882352941178
156,2019-06-06,21.323529411764707
157,2019-06-07,21.323529411764707
158,2019-06-08,19.191176470588236
159,2019-06-09,19.191176470588236
160,2019-06-10,19.191176470588236
161,2019-06-11,19.191176470588236
162,2019-06-12,19.191176470588236
